,trim_id,model_id,invoice,price
0,3484,97,26912,27950
1,3485,97,28771,29950
2,3486,97,25315,25950
3,3487,97,30593,31850
4,3488,97,28882,30000
5,3489,98,146232,157500
6,3490,99,36458,38400
7,3492,99,43847,46200
8,3493,99,39205,41300
9,3495,99,42047,44300
10,3491,99,43942,46300
11,3494,99,45742,48200
12,3496,99,38353,40400
13,3497,99,41100,43300
14,3498,99,48394,51000
15,3499,100,36554,37500
16,3501,100,42018,44250
17,3502,100,43866,46300
18,3506,100,39497,41500
19,3500,100,41398,43500
20,3503,100,45758,48300
21,3504,100,38500,39500
22,3505,100,43914,46250
23,3507,100,49542,52300
24,3508,100,50299,53100
25,3515,101,70466,75250
26,3509,101,38358,40350
27,3510,101,40198,42350
28,3511,101,40979,43200
29,3513,101,42819,45200
30,3512,101,43891,46400
31,3514,101,45731,48400
32,3520,102,76041,81250
33,3516,102,40253,42350
34,3517,102,42093,44350
35,3518,102,45082,47600
36,3519,102,47994,50800
37,3521,395,0,245900
38,3523,395,0,205600
39,3522,395,0,220900
40,3525,396,0,316300
41,3524,396,0,334700
42,3526,397,0,176900
43,3528,398,0,153000
44,3529,398,0,146000
45,3527,398,0,161000
46,3534,104,36755,39100
47,3531,104,41174,43800
48,3530,104,42395,45100
49,3533,104,38447,40900
50,3535,104,46438,49400
51,3532,104,46814,49800
52,3537,105,41924,44600
53,3536,105,45872,48800
54,3538,105,51231,54500
55,3543,3,39292,41800
56,3545,3,47376,50400
57,3540,3,51983,55300
58,3547,3,43899,46700
59,3541,3,45967,48900
60,3550,3,45967,48900
61,3542,3,41360,44000
62,3548,3,41360,44000
63,3539,3,57482,61150
64,3544,3,49256,52400
65,3546,3,50244,53450
66,3549,3,50526,53750
67,3551,106,56212,59800
68,3558,106,51608,54900
69,3553,106,55276,58800
70,3555,106,59880,63700
71,3552,106,61008,64900
72,3554,106,65332,69500
73,3556,106,0,54900
74,3557,106,0,58800
75,3559,107,61948,65900
76,3560,107,67120,71400
77,3563,108,65048,69200
78,3561,108,69889,74350
79,3564,108,70408,74900
80,3562,108,73649,78350
81,3565,108,75437,80250
82,3566,109,81312,86500
83,3567,109,90148,95900
84,3568,109,92968,98900
85,3569,4,61948,65900
86,3571,4,70316,74800
87,3570,4,74356,79100
88,3574,111,64956,69100
89,3573,111,73324,78000
90,3572,111,77364,82300
91,3577,6,0,34000
92,3578,6,0,37300
93,3576,6,33840,36000
94,3575,6,36943,39300
95,3579,7,0,43300
96,3582,7,0,51900
97,3581,7,0,48100
98,3583,7,0,55800
99,3580,7,0,54000
100,3584,7,0,61700
101,3585,115,44932,47800
102,3587,115,47940,51000
103,3586,115,53111,56500
104,3588,116,57152,60800
105,3589,116,51653,54950
106,3590,116,53768,57200
107,3591,116,59972,63800
108,3592,116,67680,72000
109,3593,8,64108,68200
110,3594,8,67727,72050
111,3595,8,73179,77850
112,3596,117,134140,142700
113,3599,117,184900,196700
114,3598,117,0,208100
115,3597,117,145908,154900
116,3600,119,70876,75400
117,3601,119,0,75100
118,3602,120,102460,109000
119,3603,121,107160,114000
120,3604,123,107632,114500
121,3607,125,46907,49900
122,3605,125,50291,53500
123,3606,125,54710,58200
124,3608,126,56964,60600
125,3609,126,49351,52500
126,3612,126,49351,52500
127,3614,126,60348,64200
128,3615,126,52735,56100
129,3616,126,52735,56100
130,3610,126,56966,60600
131,3611,126,57247,60900
132,3613,126,64579,68700
133,3617,127,69936,74400
134,3618,127,76236,81100
135,3619,128,79336,84400
136,3620,128,84884,90300
137,3621,129,123048,130900
138,3623,130,49727,52900
139,3622,130,53863,57300
140,3624,130,58751,62500
141,3626,131,52735,56100
142,3625,131,55931,59500
143,3627,131,60819,64700
144,3628,132,79900,85000
145,3629,132,85728,91200
146,3631,133,83848,89100
147,3630,133,89396,95000
148,3632,134,50667,53900
149,3633,134,0,49800
150,3634,135,68151,72500
151,3635,136,0,59500
152,3638,137,0,180500
153,3637,137,0,249900
154,3636,137,0,180500
155,3640,138,0,223300
156,3645,138,0,245600
157,3639,138,0,304500
158,3643,138,0,282000
159,3644,138,0,206600
160,3646,138,0,227200
161,3641,138,0,292600
162,3642,138,0,271800
163,3647,139,0,196000
164,3648,139,0,221000
165,3649,140,33885,35900
166,3651,140,39420,41850
167,3650,140,35745,37900
168,3652,140,41280,43850
169,3657,140,55275,58900
170,3653,140,43605,46350
171,3655,140,47885,50950
172,3654,140,45465,48350
173,3656,140,49745,52950
174,3660,141,33700,35700
175,3659,141,35560,37700
176,3658,141,42815,45500
177,3665,9,41930,44550
178,3666,9,43790,46550
179,3661,9,38865,41250
180,3663,9,40725,43250
181,3667,9,65505,69900
182,3668,9,68205,72800
183,3664,9,51370,54700
184,3662,9,53230,56700
185,3669,10,42910,45600
186,3673,10,49885,53100
187,3670,10,44770,47600
188,3674,10,67275,71800
189,3675,10,69970,74700
190,3672,10,60020,64000
191,3671,10,54905,58500
192,3676,142,53695,57200
193,3680,142,55835,59500
194,3678,142,50905,54200
195,3677,142,53045,56500
196,3682,142,55790,59450
197,3681,142,57930,61750
198,3683,142,96755,103500
199,3679,142,71925,76800
200,3684,143,81225,86800
201,3685,143,84015,89800
202,3686,143,89685,95900
203,3687,143,96290,103000
204,3688,143,147255,157800
205,3691,12,91080,97400
206,3692,12,82340,88000
207,3689,12,85035,90900
208,3693,12,93780,100300
209,3690,12,104565,111900
210,3694,12,113400,121400
211,3695,13,79550,85000
212,3697,13,82245,87900
213,3698,13,121400,130000
214,3696,13,101775,108900
215,3699,144,133675,143200
216,3700,145,131910,141300
217,3701,399,41840,44450
218,3703,399,45420,48300
219,3702,399,48395,51500
220,3704,399,44815,47650
221,3705,147,33420,35400
222,3706,147,35280,37400
223,3709,16,43700,46450
224,3708,16,34540,36600
225,3707,16,36400,38600
226,3714,148,65505,69900
227,3711,148,53140,56600
228,3713,148,40490,43000
229,3710,148,46630,49600
230,3712,148,42350,45000
231,3717,149,68760,73400
232,3716,149,57880,61700
233,3715,149,48490,51600
234,3722,150,98245,105100
235,3719,150,77505,82800
236,3718,150,55740,59400
237,3721,150,57880,61700
238,3720,150,61320,65400
239,3726,151,101500,108600
240,3723,151,80715,86250
241,3725,151,60995,65050
242,3724,151,63135,67350
243,3728,152,93315,99800
244,3727,152,70155,74900
245,3729,153,59740,63700
246,3730,153,46720,49700
247,3735,17,53424,56000
248,3737,17,51325,53800
249,3733,17,41976,44000
250,3736,17,40068,42000
251,3731,17,38160,40000
252,3732,17,46174,48400
253,3734,17,48272,50600
254,3740,154,23177,23200
255,3738,154,25160,26100
256,3739,154,23714,24600
257,3741,18,29498,30600
258,3745,18,27570,28600
259,3742,18,25257,26200
260,3743,18,23329,24200
261,3744,18,24871,25800
262,3746,18,26799,27800
263,3751,19,38351,40200
264,3752,19,40068,42000
265,3747,19,34153,35800
266,3748,19,35870,37600
267,3749,19,32054,33600
268,3750,19,30337,31800
269,3753,20,31725,33395
270,3756,20,35715,37595
271,3755,20,36760,38695
272,3754,20,42650,44895
273,3757,21,35145,36995
274,3760,21,38755,40795
275,3758,21,39705,41795
276,3759,21,45405,47795
277,3761,22,72766,76195
278,3766,22,75631,79195
279,3762,22,79451,83195
280,3767,22,82316,86195
281,3764,22,98933,103595
282,3768,22,96068,100595
283,3765,22,84895,88895
284,3770,22,82030,85895
285,3763,22,96068,100595
286,3769,22,98933,103595
287,3778,23,78496,82195
288,3780,23,75631,79195
289,3774,23,82316,86195
290,3777,23,85181,89195
291,3772,23,101798,106595
292,3776,23,98933,103595
293,3771,23,87760,91895
294,3779,23,84895,88895
295,3773,23,98933,103595
296,3775,23,101798,106595
297,3784,25,34005,35795
298,3785,25,36380,38295
299,3783,25,37805,39795
300,3786,25,40180,42295
301,3781,25,37995,39995
302,3782,25,40370,42495
303,3788,26,41795,43995
304,3789,26,43695,45995
305,3787,26,46355,48795
306,3791,26,48255,50795
307,3790,26,52340,55095
308,3795,27,45595,47995
309,3796,27,47495,49995
310,3792,27,50155,52795
