,make_id,make_name
0,1,Acura
1,24,Alfa Romeo
2,2,Audi
3,25,Bentley
4,3,BMW
5,4,Buick
6,5,Cadillac
7,6,Chevrolet
8,26,Chrysler
9,27,Dodge
10,28,FIAT
11,29,Ford
12,7,Genesis
13,8,GMC
14,9,Honda
15,10,Hyundai
16,11,INFINITI
17,12,Jaguar
18,30,Jeep
19,31,Karma
20,13,Kia
21,32,Lamborghini
22,14,Land Rover
23,33,Lexus
24,15,Lincoln
25,34,Lucid
26,35,Maserati
27,16,Mazda
28,36,McLaren
29,37,Mercedes-Benz
30,17,MINI
31,18,Mitsubishi
32,19,Nissan
33,20,Polestar
34,38,Porsche
35,39,Ram
36,40,Rivian
37,41,Rolls-Royce
38,21,Subaru
39,42,Tesla
40,22,Toyota
41,43,Volkswagen
42,23,Volvo
