,model_id,model_name,make_id
0,97,*** (hidden),1
1,2,*** (hidden),1
2,98,*** (hidden),1
3,99,*** (hidden),1
4,100,*** (hidden),1
5,101,****** (hidden),24
6,102,******* (hidden),24
7,103,** (hidden),2
8,104,** (hidden),2
9,105,********** (hidden),2
10,3,** (hidden),2
11,106,** (hidden),2
12,107,********** (hidden),2
13,108,** (hidden),2
14,109,** (hidden),2
15,4,****** (hidden),2
16,110,********* (hidden),2
17,5,******** (hidden),2
18,112,****************** (hidden),2
19,111,**************** (hidden),2
20,6,** (hidden),2
21,113,********* (hidden),2
22,114,******************* (hidden),2
23,7,** (hidden),2
24,115,************ (hidden),2
25,116,** (hidden),2
26,8,** (hidden),2
27,117,** (hidden),2
28,118,**** (hidden),2
29,119,**** (hidden),2
30,120,**** (hidden),2
31,121,**** (hidden),2
32,122,************ (hidden),2
33,123,***** (hidden),2
34,124,** (hidden),2
35,125,** (hidden),2
36,126,** (hidden),2
37,127,** (hidden),2
38,128,** (hidden),2
39,129,** (hidden),2
40,130,*** (hidden),2
41,131,************* (hidden),2
42,132,*** (hidden),2
43,133,*** (hidden),2
44,134,** (hidden),2
45,135,***** (hidden),2
46,136,*** (hidden),2
47,137,******** (hidden),25
48,138,*********** (hidden),25
49,139,*********** (hidden),25
50,140,******** (hidden),3
51,141,******************* (hidden),3
52,9,******** (hidden),3
53,10,******** (hidden),3
54,11,******************* (hidden),3
55,142,******** (hidden),3
56,143,******** (hidden),3
57,12,******** (hidden),3
58,13,******************* (hidden),3
59,144,********* (hidden),3
60,14,******************** (hidden),3
61,145,********** (hidden),3
62,146,** (hidden),3
63,15,** (hidden),3
64,147,** (hidden),3
65,16,** (hidden),3
66,148,** (hidden),3
67,149,** (hidden),3
68,150,** (hidden),3
69,151,** (hidden),3
70,152,** (hidden),3
71,153,** (hidden),3
72,17,******* (hidden),4
73,154,****** (hidden),4
74,18,********* (hidden),4
75,19,******** (hidden),4
76,20,*** (hidden),5
77,155,*************** (hidden),5
78,21,*** (hidden),5
79,156,*************** (hidden),5
80,22,******** (hidden),5
81,23,************ (hidden),5
82,25,*** (hidden),5
83,26,*** (hidden),5
84,27,*** (hidden),5
85,157,****** (hidden),6
86,28,******** (hidden),6
87,29,******* (hidden),6
88,158,****** (hidden),6
89,159,******** (hidden),6
90,30,******** (hidden),6
91,160,******* (hidden),6
92,161,******* (hidden),6
93,162,************* (hidden),6
94,163,****** (hidden),6
95,165,************** (hidden),6
96,164,********************** (hidden),6
97,166,**************** (hidden),6
98,167,**************** (hidden),6
99,168,***** (hidden),6
100,31,******** (hidden),6
101,32,***** (hidden),6
102,33,*********** (hidden),6
103,34,******** (hidden),6
104,169,**** (hidden),6
105,170,*** (hidden),26
106,171,******** (hidden),26
107,172,******* (hidden),26
108,173,********** (hidden),27
109,174,******* (hidden),27
110,175,******* (hidden),27
111,176,**** (hidden),28
112,177,****** (hidden),29
113,178,************ (hidden),29
114,183,******************* (hidden),29
115,179,******** (hidden),29
116,180,**** (hidden),29
117,181,****** (hidden),29
118,182,********************* (hidden),29
119,184,********** (hidden),29
120,185,******** (hidden),29
121,186,***** (hidden),29
122,187,*************** (hidden),29
123,188,**************** (hidden),29
124,189,**************** (hidden),29
125,190,**************** (hidden),29
126,191,******** (hidden),29
127,192,******* (hidden),29
128,193,************** (hidden),29
129,194,****** (hidden),29
130,195,************ (hidden),29
131,196,***************** (hidden),29
132,197,************************* (hidden),29
133,198,******************************* (hidden),29
134,199,**************** (hidden),29
135,200,********************* (hidden),29
136,35,*** (hidden),7
137,201,*** (hidden),7
138,202,*** (hidden),7
139,37,**** (hidden),7
140,38,**** (hidden),7
141,39,****** (hidden),8
142,203,****** (hidden),8
143,204,********* (hidden),8
144,205,****** (hidden),8
145,206,************ (hidden),8
146,207,*********** (hidden),8
147,208,******************* (hidden),8
148,209,************* (hidden),8
149,210,************* (hidden),8
150,211,******* (hidden),8
151,212,***** (hidden),8
152,213,******** (hidden),8
153,214,****** (hidden),9
154,215,************* (hidden),9
155,216,***** (hidden),9
156,217,**** (hidden),9
157,218,*********** (hidden),9
158,40,**** (hidden),9
159,219,******* (hidden),9
160,41,******* (hidden),9
161,220,******** (hidden),9
162,221,***** (hidden),9
163,222,********* (hidden),9
164,223,****** (hidden),10
165,42,******* (hidden),10
166,224,******* (hidden),10
167,225,************ (hidden),10
168,226,******************** (hidden),10
169,227,**** (hidden),10
170,228,************* (hidden),10
171,229,**** (hidden),10
172,43,******** (hidden),10
173,230,********** (hidden),10
174,44,******** (hidden),10
175,231,*************** (hidden),10
176,232,*********************** (hidden),10
