,trim_id,model_id,invoice,price
0,570,97,28209,29300
1,571,97,30065,31300
2,572,97,26629,27300
3,573,97,31887,33200
4,574,2,46772,48000
5,579,2,49592,52700
6,576,2,51659,54900
7,577,2,48913,50200
8,578,2,58027,61950
9,575,2,54827,58400
10,580,2,62472,66700
11,581,2,67477,72050
12,582,98,157190,169500
13,583,99,39592,40600
14,585,99,41181,43250
15,590,99,43935,46250
16,586,99,43272,45450
17,587,99,49847,52600
18,588,99,47955,50600
19,589,99,41733,42800
20,591,99,46021,48450
21,584,99,50488,53800
22,597,100,51644,54500
23,592,100,37938,38900
24,595,100,40848,42900
25,599,100,43367,45650
26,593,100,47292,49900
27,594,100,40078,41100
28,598,100,45453,47850
29,600,100,42939,45100
30,596,100,50887,53700
31,603,101,73808,78830
32,601,101,41168,43350
33,602,101,43008,45350
34,604,101,43044,45390
35,606,101,44884,47390
36,605,101,46392,48990
37,607,101,48232,50990
38,612,102,79229,84650
39,608,102,43257,45550
40,609,102,45097,47550
41,610,102,47810,50500
42,611,102,49484,52300
43,613,103,34592,36800
44,616,103,32712,34800
45,617,103,35815,38100
46,618,103,37695,40100
47,614,103,39575,42100
48,615,103,41455,44100
49,619,104,37507,39900
50,621,104,41926,44600
51,623,104,43428,46200
52,624,104,39480,42000
53,620,104,47190,50200
54,622,104,47847,50900
55,627,105,42771,45500
56,626,105,46719,49700
57,625,105,52078,55400
58,632,3,41267,43900
59,633,3,49068,52200
60,635,3,45874,48800
61,639,3,53675,57100
62,630,3,47847,50900
63,637,3,47847,50900
64,628,3,43240,46000
65,629,3,43240,46000
66,634,3,51231,54500
67,636,3,59173,62950
68,631,3,52405,55750
69,638,3,52124,55450
70,640,106,52547,55900
71,643,106,56212,59800
72,642,106,59879,63700
73,644,106,56214,59800
74,641,106,65331,69500
75,645,107,62887,66900
76,646,107,68058,72400
77,647,108,65048,69200
78,648,108,69889,74350
79,649,108,71347,75900
80,650,108,73649,78350
81,651,108,76376,81250
82,652,109,81311,86500
83,653,4,78398,83400
84,655,4,61947,65900
85,654,4,70314,74800
86,656,110,96256,102400
87,657,110,103024,109600
88,662,5,79712,84800
89,661,5,84412,89800
90,664,112,82156,87400
91,663,112,86856,92400
92,659,111,73322,78000
93,658,111,64955,69100
94,660,111,77363,82300
95,665,6,34216,36400
96,666,6,37319,39700
97,668,6,36379,38700
98,667,6,39482,42000
99,669,113,41267,43900
100,673,113,46907,49900
101,670,113,45122,48000
102,671,113,50762,54000
103,672,113,54051,57500
104,674,114,49539,52700
105,676,114,53394,56800
106,675,114,56683,60300
107,677,7,43052,45800
108,681,7,52076,55400
109,684,7,40703,43300
110,680,7,47752,50800
111,682,7,55931,59500
112,685,7,45403,48300
113,678,7,60912,64800
114,679,7,53111,56500
115,683,7,50762,54000
116,688,115,50291,53500
117,687,115,47095,50100
118,686,115,55274,58800
119,689,116,54051,57500
120,690,116,58751,62500
121,692,116,56778,60400
122,693,116,62135,66100
123,691,116,68903,73300
124,694,8,66552,70800
125,695,8,70219,74700
126,696,8,76047,80900
127,697,117,187812,199800
128,700,117,139779,148700
129,698,117,151247,160900
130,699,117,200691,213500
131,701,118,55367,58900
132,702,119,71347,75900
133,703,119,71628,76200
134,704,120,109511,116500
135,705,121,111391,118500
136,706,122,133856,142400
137,707,123,112707,119900
138,708,124,43052,45800
139,709,124,45684,48600
140,710,124,49256,52400
141,712,125,48787,51900
142,713,125,52171,55500
143,711,125,56590,60200
144,714,126,51983,55300
145,715,126,51983,55300
146,722,126,59596,63400
147,718,126,55367,58900
148,720,126,62980,67000
149,721,126,55367,58900
150,716,126,59598,63400
151,717,126,59879,63700
152,719,126,67211,71500
153,723,127,70312,74800
154,724,127,76611,81500
155,726,128,79524,84600
156,725,128,85071,90500
157,727,129,109887,116900
158,729,130,52452,55800
159,728,130,56400,60000
160,730,130,61288,65200
161,733,131,55648,59200
162,731,131,58656,62400
163,732,131,63544,67600
164,734,132,83191,88500
165,735,132,87891,93500
166,737,133,87891,93500
167,736,133,93719,99700
168,738,134,47471,50500
169,739,134,51324,54600
170,740,135,68808,73200
171,741,136,56588,60200
172,743,137,0,226600
173,742,137,0,259400
174,744,137,0,193400
175,748,138,0,282800
176,750,138,0,311100
177,745,138,0,231000
178,747,138,0,254100
179,746,138,0,300600
180,749,138,0,319800
181,756,139,0,210600
182,752,139,0,291600
183,751,139,0,204500
184,753,139,0,293300
185,755,139,0,231200
186,754,139,0,309000
187,757,140,34305,36350
188,758,140,45650,48550
189,760,141,33700,35700
190,759,141,35560,37700
191,761,141,42815,45500
192,767,9,40445,42950
193,765,9,42305,44950
194,762,9,39050,41450
195,764,9,40910,43450
196,768,9,65695,70100
197,769,9,68390,73000
198,770,9,72205,77100
199,766,9,51370,54700
200,763,9,53230,56700
