,model_id,trim_id_x,invoice_2021,price_2021,trim_id_y,invoice_2022,price_2022,increase_rate_%,increase_invoice_rate%,sell_status
2,6,3576.5,17695.75,36650.0,666.5,36849.0,39200.0,6.957708049113243,108.23644095333624,1.0
11,18,3743.5,26220.666666666668,27200.0,851.5,26285.0,27266.666666666668,0.2450980392156854,0.2453535379217442,1.0
12,19,3749.5,35138.833333333336,36833.333333333336,857.5,35266.166666666664,36966.666666666664,0.36199095022622085,0.36237211442229356,1.0
13,20,3754.5,36712.5,38645.0,862.5,37520.0,39495.0,2.199508345193424,2.199523323118835,1.0
17,25,3783.5,37789.166666666664,39778.333333333336,893.5,37757.5,39745.0,-0.08379771232246425,-0.08379826669900892,0.0
20,29,3807.5,37692.5,39100.0,917.5,32600.0,32600.0,-16.62404092071611,-13.510645353850236,1.0
24,33,4023.0,23402.777777777777,24200.0,1170.5,24172.25,25075.0,3.615702479338845,3.2879525222551997,0.0
28,39,4511.5,38041.125,39700.0,1665.0,39345.42857142857,41242.857142857145,3.886290032385764,3.428667189596979,0.0
29,40,4702.0,23508.666666666668,24822.222222222223,1880.5,23850.0,25107.5,1.149283795881817,1.451946799761794,1.0
30,41,4712.0,36345.6,39152.0,1889.0,37463.6,40342.0,3.0394360441356794,3.0760257087515397,1.0
31,42,4747.0,22938.14285714286,23850.0,1920.0,25225.777777777777,26238.88888888889,10.0163056137899,9.973060743767048,0.0
33,44,4789.0,33843.666666666664,35516.666666666664,1970.5,33345.7,34994.0,-1.4716095729704337,-1.4713732751573394,1.0
39,53,5002.0,19975.428571428572,20832.85714285714,2190.0,20695.2,21590.0,3.6343687855722395,3.6032840346711614,0.0
40,54,5009.0,25938.85714285714,26890.0,2196.0,26049.0,27004.285714285714,0.42501195346118514,0.424624942171703,0.0
41,55,5031.5,23522.5,24423.333333333332,2216.5,24148.833333333332,25073.333333333332,2.6613893817387657,2.662698834449273,1.0
42,56,5050.0,20868.714285714286,21707.14285714286,2238.5,22029.166666666668,22956.666666666668,5.756279477898429,5.560727724116532,0.0
43,57,5057.5,27537.5,28730.0,2245.5,28137.5,29355.0,2.1754263835711773,2.1788470267816606,1.0
52,68,5485.0,31573.333333333332,34100.0,2650.0,31573.333333333332,34100.0,0.0,0.0,0.0
53,69,5488.0,30010.0,32400.0,2653.0,30470.0,32900.0,1.5432098765432167,1.5328223925358264,0.0
54,70,5493.5,30747.5,33650.0,2658.5,30747.5,33650.0,0.0,0.0,0.0
55,71,5500.5,27255.0,29733.333333333332,2665.0,24680.0,27100.0,-8.856502242152464,-9.447807741698766,0.0
56,72,5505.0,22380.0,24733.333333333332,2669.0,22686.666666666668,25233.333333333332,2.021563342318067,1.370271075364915,0.0
57,74,5567.0,0.0,37878.0,2754.0,0.0,32280.0,-14.779027403769994,,
59,78,5874.0,24784.428571428572,26230.714285714286,3074.0,25681.85714285714,27202.14285714286,3.7034011382512277,3.620937109129563,0.0
60,79,5888.0,21281.81818181818,22422.272727272728,3088.5,21422.8,22575.0,0.681140911025957,0.662451943613851,0.0
61,80,5904.5,27479.166666666668,29270.0,3104.5,28252.833333333332,30110.833333333332,2.872679649242671,2.815466262319921,0.0
62,81,5911.0,32079.428571428572,34287.857142857145,3111.5,33063.625,35357.5,3.1195966918734275,3.0679986284045,0.0
63,84,5958.0,27218.923076923078,29889.23076923077,3150.0,27881.23076923077,30616.153846153848,2.4320568252007346,2.4332619275051925,1.0
64,85,5966.5,27817.5,30236.25,3159.0,28335.8,30800.0,1.8644838562983157,1.863215601689583,0.0
70,93,6244.5,36064.666666666664,38366.666666666664,3445.5,37380.666666666664,39766.666666666664,3.6490008688097264,3.6490008688097264,0.0
73,97,3486.0,28094.6,29140.0,571.5,29197.5,30275.0,3.894989704873031,3.925665430367409,1.0
109,141,3659.0,37358.333333333336,39633.333333333336,760.0,37358.333333333336,39633.333333333336,0.0,0.0,0.0
114,147,3705.5,34350.0,36400.0,817.5,34350.0,36400.0,0.0,0.0,0.0
121,154,3739.0,24017.0,24633.333333333332,847.5,24013.0,24910.0,1.1231393775372078,-0.016654869467458422,0.0
122,157,3801.5,36391.1,38010.0,910.5,37873.625,39700.0,4.446198368850296,4.07386696197698,0.0
123,158,3816.0,37917.333333333336,39333.333333333336,926.0,37917.333333333336,39333.333333333336,0.0,0.0,0.0
124,159,3832.5,31565.166666666668,33055.555555555555,942.5,31883.166666666668,33388.88888888889,1.0084033613445342,1.0074396354631476,0.0
125,160,3853.0,27069.545454545456,28272.727272727272,963.5,27332.083333333332,28650.0,1.3344051446945393,0.9698643785087668,0.0
126,161,3861.5,36575.5,39183.333333333336,972.5,36575.5,39183.333333333336,0.0,0.0,0.0
127,162,3866.5,32433.25,34725.0,977.5,32900.25,35225.0,1.4398848092152639,1.4398803696823448,0.0
128,163,3871.5,24709.5,25498.333333333332,982.0,25353.4,26300.0,3.1439963396300508,2.6058803294279675,0.0
132,168,3988.5,15528.5,16025.0,1136.5,15721.875,16225.0,1.2480499219968744,1.245290916701558,0.0
133,169,4046.5,22220.5,23050.0,1192.5,21796.0,22610.0,-1.9088937093275526,-1.9103980558493272,0.0
134,170,4051.5,35270.666666666664,36270.0,1197.5,37763.5,38847.5,7.1064240419079105,7.067723887649802,0.0
136,172,4066.0,29851.0,30558.333333333332,1212.0,31612.0,32115.0,5.094082356149454,5.899299855951234,1.0
140,176,4104.5,27193.5,27935.0,1253.0,29920.2,30822.0,10.334705566493652,10.02702851784434,0.0
142,178,4131.0,31106.8,32063.0,1279.5,31675.75,32596.25,1.6631319589557991,1.8290213072382988,1.0
143,179,4137.0,24527.85714285714,25028.571428571428,1283.5,25516.75,26037.5,4.031107305936077,4.031713212382426,1.0
144,180,4145.0,36685.444444444445,38135.555555555555,1288.0,40391.2,41995.0,10.120330983042948,10.101432902543838,0.0
145,181,4156.5,28951.285714285714,30119.285714285714,1297.5,30804.714285714286,32046.785714285714,6.399554153722109,6.401886913485222,1.0
146,182,4165.0,34158.666666666664,35581.666666666664,1306.0,36590.666666666664,38115.0,7.119771417865017,7.119715835903051,0.0
153,192,4359.5,36084.5,37905.0,1510.5,37585.375,39484.375,4.166666666666674,4.159334340229193,0.0
155,194,4376.5,30926.75,32117.5,1527.5,31700.0,32920.0,2.498637814275706,2.50026271755035,1.0
162,203,4522.5,35115.357142857145,36764.28571428572,1675.5,35115.357142857145,36764.28571428572,0.0,0.0,0.0
163,205,4532.5,36575.5,39183.333333333336,1686.5,36575.5,39183.333333333336,0.0,0.0,0.0
164,206,4537.5,32433.25,34725.0,1691.5,32900.25,35225.0,1.4398848092152639,1.4398803696823448,0.0
168,211,4641.0,30661.428571428572,31971.428571428572,1825.5,30750.666666666668,32233.333333333332,0.8191837950551006,0.291043501219157,0.0
171,214,4661.5,28164.166666666668,30070.0,1845.5,29814.166666666668,31820.0,5.819753907549052,5.858508151611086,1.0
172,215,4666.5,29406.25,31405.0,1850.5,30541.75,32605.0,3.8210476038847307,3.861424017003179,1.0
173,216,4675.0,25650.23076923077,27245.384615384617,1858.5,24949.0,26400.0,-3.102854400180699,-2.733818559137269,1.0
174,217,4689.5,27741.0,29522.0,1869.0,28752.555555555555,30513.333333333332,3.3579477451843864,3.646427870500535,1.0
175,218,4696.0,31081.0,33353.333333333336,1875.0,32442.666666666668,34803.333333333336,4.347391565060965,4.381025921516901,1.0
176,219,4708.0,23707.666666666668,25526.666666666668,1885.5,26115.0,27775.0,8.807782710890578,10.15423983802708,1.0
177,220,4718.0,35508.71428571428,38391.42857142857,1893.5,38918.5,41935.0,9.230110887846976,9.602672985705741,1.0
180,223,4741.5,16825.0,17285.0,1914.0,17555.0,18048.333333333332,4.416160447401407,4.338781575037154,0.0
181,225,4754.5,26037.5,27187.5,1933.5,26229.25,27387.5,0.7356321839080415,0.7364378300528163,1.0
182,226,4758.0,28572.333333333332,29850.0,1937.0,28668.0,29950.0,0.3350083752093891,0.3348227306135376,0.0
183,227,4765.5,24250.25,25300.0,1943.0,25353.11111111111,26433.333333333332,4.479578392621875,4.547833985674821,1.0
186,231,4795.0,35320.0,37066.666666666664,1977.0,36009.0,37790.0,1.9514388489208612,1.9507361268403134,0.0
187,233,4799.0,27669.0,29060.0,1983.5,29362.666666666668,30850.0,6.159669649002075,6.121170503692475,0.0
188,234,4803.0,29541.333333333332,30983.333333333332,1988.0,29604.666666666668,31050.0,0.21516944593868992,0.21438887885900648,0.0
189,235,4810.5,26933.833333333332,28141.666666666668,1997.0,29409.133333333335,30770.0,9.339650577435599,9.1902996850306,0.0
190,237,4820.5,24634.125,25693.75,2007.5,32017.0,33250.0,29.40890294332279,29.970112597869836,1.0
191,238,4826.0,19599.333333333332,20200.0,2010.0,20052.333333333332,20666.666666666668,2.310231023102327,2.311303105547813,1.0
195,243,4887.0,31833.235294117647,32481.470588235294,2071.0,34310.0,34937.857142857145,7.56242408406087,7.780436650559452,1.0
196,244,4901.5,27889.916666666668,28424.583333333332,2080.0,31431.909090909092,31961.81818181818,12.444280385762973,12.699903217981735,1.0
200,251,4958.5,26255.85714285714,26774.285714285714,2137.0,28644.14285714286,28957.85714285714,8.155479671326438,9.096201663846436,1.0
201,253,4978.0,32877.32,34068.6,2162.5,34964.95,36074.0,5.88635869979981,6.349757218654073,1.0
204,257,5015.0,27755.4,28614.0,2202.0,27208.0,28050.0,-1.9710631159572278,-1.9722288275434763,0.0
206,259,5021.0,32182.0,33176.666666666664,2209.0,32162.0,33156.666666666664,-0.06028333165879474,-0.06214654154496069,0.0
207,260,5024.0,16087.333333333334,16576.666666666668,2212.0,16475.333333333332,16976.666666666668,2.413030363965407,2.411835398450113,0.0
208,261,5039.5,34473.2,35890.0,2224.5,35079.2,36520.0,1.7553636110337223,1.7578872863557748,1.0
209,262,5045.5,34248.0,35090.0,2231.5,35211.75,36115.0,2.9210601310914797,2.81403293622986,0.0
210,264,5073.5,36178.25,37702.5,2259.5,37163.0,38727.5,2.7186526092434216,2.7219392867261494,1.0
223,277,5202.5,34480.333333333336,36333.333333333336,2408.5,35171.166666666664,37060.0,2.0000000000000018,2.0035575835500197,1.0
230,286,5269.5,25453.5,26617.5,2466.5,26261.6,27462.5,3.1746031746031855,3.1748089653682143,1.0
231,287,5293.0,26899.18181818182,27695.454545454544,2480.5,28291.125,29130.0,5.179714426390936,5.174667360615892,0.0
232,288,5304.5,29503.25,30450.0,2488.5,31201.75,32278.75,6.005747126436778,5.756992873666467,0.0
234,291,5322.5,28395.166666666668,30042.5,2502.5,29442.0,31150.0,3.68644420404427,3.6866602884293664,1.0
235,292,5327.5,32195.25,34066.25,2506.0,34589.666666666664,36600.0,7.437713279272007,7.437173703160127,0.0
239,298,5336.0,0.0,38383.333333333336,2513.5,0.0,34950.0,-8.94485453755971,,
254,314,5413.0,0.0,34208.333333333336,2581.0,0.0,36333.333333333336,6.211936662606576,,
257,318,5509.0,15758.6,16110.0,2685.0,16106.2,16465.0,2.2036002482929806,2.205779701242494,1.0
258,319,5514.0,16687.8,17060.0,2690.0,17046.4,17425.0,2.139507620164127,2.148875226213165,1.0
259,321,5518.0,37471.333333333336,38761.666666666664,2707.0,37857.0,39161.666666666664,1.0319473706841054,1.029231234543726,0.0
260,322,5524.5,24100.8,24795.0,2714.0,14168.09090909091,25676.81818181818,3.556435498359267,-41.21319247041214,0.0
261,323,5534.0,0.0,28675.555555555555,2724.0,0.0,29025.555555555555,1.2205517668939958,,
263,325,5552.0,0.0,30880.909090909092,2742.5,0.0,33645.0,8.950808089728856,,
264,326,5563.0,0.0,21063.333333333332,2750.0,0.0,21463.333333333332,1.8990346573825034,,
266,328,5576.5,0.0,39130.0,2763.5,0.0,39807.5,1.7314081267569614,,
267,330,5600.5,0.0,31205.0,2779.5,0.0,32355.0,3.685306841852265,,
268,331,5607.5,0.0,26926.666666666668,2786.5,0.0,27776.666666666668,3.1567219608814145,,
269,332,5612.0,0.0,20643.333333333332,2791.0,0.0,21226.666666666668,2.8257710318101203,,
272,335,5634.5,0.0,16952.5,2809.5,0.0,17552.5,3.539300988054861,,
284,347,5832.5,34814.13333333333,36710.333333333336,3027.5,38241.13333333333,40201.0,9.508676031271834,9.84370332355442,1.0
285,348,5852.5,35068.5,36615.5,3047.5,41569.2,43514.0,18.840381805519524,18.537148723213125,0.0
286,349,5859.5,25420.25,26326.25,3053.5,29571.0,30722.5,16.699112102939083,16.32851761882752,0.0
287,350,5862.5,37606.0,39315.0,3055.5,44389.0,46517.5,18.319979651532492,18.037015369887776,0.0
289,353,5868.5,35534.25,38032.5,3064.0,35992.0,38525.0,1.2949451127325373,1.288193784869529,0.0
290,354,5880.0,27792.8,29655.0,3080.5,29240.5,31224.166666666668,5.2914067329848935,5.208903025243949,0.0
291,355,5897.5,32579.25,34588.75,3097.5,28734.75,30619.375,-11.475913411152472,-11.800455811597876,0.0
299,363,5970.5,22596.5,24167.5,3163.0,23882.0,25541.666666666668,5.686010827212851,5.6889341269665605,1.0
300,364,5977.5,22141.6,23871.5,3169.5,22512.4,24271.5,1.6756383134700403,1.6746757235249543,0.0
301,366,5985.0,20818.8,22485.0,3183.0,21466.8,23185.0,3.113186568823667,3.112571329759639,0.0
302,367,5988.0,21851.0,23600.0,3186.0,22268.0,24050.0,1.9067796610169552,1.9083794792000397,1.0
307,372,6020.0,26441.85714285714,28295.714285714286,3222.5,27092.625,29006.875,2.51331599939415,2.4611276493438528,0.0
308,373,6025.0,29509.666666666668,30733.333333333332,3228.0,30039.0,31290.0,1.8112798264642072,1.7937624959052823,0.0
309,374,6031.5,29320.7,31358.5,3234.5,29939.6,32020.5,2.1110703636972428,2.1107954448563504,0.0
310,375,6039.0,30884.8,32855.0,3242.5,31398.666666666668,33402.5,1.6664130269365307,1.663817368630105,0.0
311,376,6042.5,37519.0,39912.5,3246.5,39445.0,41962.5,5.136235515189469,5.133399077800571,0.0
314,379,6082.0,32473.21212121212,34913.93939393939,3287.0,33258.333333333336,35758.333333333336,2.418500902652432,2.4177503881987583,0.0
316,381,6120.0,34112.333333333336,36290.0,3347.0,34701.0,36915.0,1.7222375310002702,1.7256710671604614,1.0
320,385,6181.5,31841.5,33168.333333333336,3378.5,33293.0,34680.0,4.5575599216119755,4.558516401551427,1.0
322,388,6193.0,22198.571428571428,23123.571428571428,3390.5,21927.833333333332,22841.666666666668,-1.219122931661143,-1.2196194521311932,0.0
323,389,6198.5,27787.0,28945.0,3394.5,30426.5,31695.0,9.500777336327527,9.499046316622884,0.0
324,390,6202.0,25888.0,26995.0,3397.0,28043.666666666668,29241.666666666668,8.322528863369772,8.326895344046159,1.0
325,392,6208.0,29424.333333333332,30650.555555555555,3408.0,30300.14285714286,31562.85714285714,2.9764602003640617,2.976480431647932,1.0
