,model_id,trim_id_x,invoice_2021,price_2021,trim_id_y,invoice_2022,price_2022,increase_rate_%,increase_invoice_rate%,sell_status
0,3,3544.5,47059.333333333336,50062.5,633.5,48915.916666666664,52037.5,3.945068664169793,3.945196843700849,1.0
1,4,3570.0,68873.33333333333,73266.66666666667,654.0,70219.66666666667,74700.0,1.9563239308462155,1.9547962443132505,0.0
3,7,3581.5,0.0,52466.666666666664,681.0,49966.88888888889,53155.555555555555,1.3130029648454,inf,1.0
4,8,3594.0,68338.0,72700.0,695.0,70939.33333333333,75466.66666666667,3.8055937643282967,3.8065693074619267,1.0
5,9,3664.5,50452.5,53712.5,766.0,52622.22222222222,56044.444444444445,4.341530266594273,4.3005246959461285,0.0
6,10,3672.0,55676.42857142857,59328.57142857143,776.5,59430.833333333336,63366.666666666664,6.806324745164138,6.743257170470529,0.0
9,16,3708.0,38213.333333333336,40550.0,820.0,38213.333333333336,40550.0,0.0,0.0,0.0
10,17,3734.0,45628.42857142857,47828.57142857143,843.5,47922.333333333336,50233.333333333336,5.027877339705311,5.02735867467754,0.0
14,21,3758.5,39752.5,41845.0,867.5,40892.5,43045.0,2.86772613215438,2.8677441670335257,1.0
18,26,3789.0,46488.0,48935.0,899.0,46640.0,49095.0,0.3269643404516298,0.32696609877818084,1.0
19,27,3794.0,49927.0,52555.0,904.0,50440.0,53095.0,1.0274950052326037,1.0275001502193293,1.0
21,30,3844.5,64352.833333333336,68900.0,954.5,66220.83333333333,70900.0,2.9027576197387495,2.9027470947925016,0.0
22,31,3999.0,57669.61538461538,60961.53846153846,1147.0,58404.61538461538,61738.46153846154,1.2744479495268246,1.2745013038461872,1.0
23,32,4012.0,55115.61538461538,58261.53846153846,1160.0,55850.46153846154,59038.46153846154,1.3335093741748016,1.3332812284107654,0.0
25,34,4036.0,38491.470588235294,40264.705882352944,1182.5,39510.6875,41415.625,2.8583820306793184,2.647903278801267,0.0
26,35,4493.0,39562.0,41400.0,1644.5,43310.5,45325.0,9.480676328502424,9.475001263839044,0.0
27,38,4505.5,53581.0,57187.5,1659.0,58481.4,62420.0,9.14972677595629,9.145779287433985,0.0
32,43,4780.5,38619.0,40718.75,1955.5,39379.75,41520.0,1.9677666922486514,1.9698852896242736,1.0
34,45,4832.5,0.0,47050.0,2014.5,0.0,49616.666666666664,5.455189514700676,,
35,47,4861.0,42953.0,45695.0,2051.0,42921.666666666664,45661.666666666664,-0.07294744136849829,-0.07294795086102424,0.0
36,48,4865.0,58859.8,62617.0,2055.0,59520.8,63320.0,1.1226983087659903,1.1230075535424877,1.0
38,51,4877.0,45617.333333333336,47028.333333333336,2066.0,46689.333333333336,48133.333333333336,2.349647375695496,2.3499839242393294,1.0
44,59,5065.5,40558.875,43240.0,2252.5,42964.5,44990.0,4.0471785383903836,5.931192618138437,1.0
45,60,5090.0,58536.36363636364,62272.72727272727,2280.0,70406.0,74900.0,20.27737226277373,20.277372262773707,0.0
46,61,5097.5,56658.5,60275.0,2290.5,56658.5,60275.0,0.0,0.0,0.0
47,62,5101.5,41783.0,44450.0,2294.5,42230.0,44925.0,1.0686164229471329,1.0698130818754148,1.0
49,64,5120.0,44969.6,47840.0,2317.0,46360.8,49320.0,3.0936454849498363,3.0936454849498363,0.0
50,65,5135.0,60630.0,64500.0,2329.0,60705.2,64580.0,0.12403100775193465,0.12403100775193465,0.0
51,66,5209.0,62208.71428571428,65942.14285714286,2415.0,62203.28571428572,65790.0,-0.23072173658726935,-0.008726384222690342,1.0
58,76,5638.0,0.0,59900.0,2812.5,45984.0,47900.0,-20.033388981636058,inf,1.0
65,88,6219.5,43498.5,46275.0,3422.0,44835.52631578947,47697.36842105263,3.073729705138062,3.0737297051380397,0.0
66,89,6229.0,52818.6,56190.0,3435.0,55184.71428571428,58707.142857142855,4.479698980499824,4.479698980499824,0.0
67,90,6233.5,47246.75,50262.5,3439.5,63262.0,67300.0,33.89704053717981,33.89704053717981,0.0
68,91,6236.0,42723.0,45450.0,3441.0,43428.0,46200.0,1.650165016501659,1.650165016501659,0.0
69,92,6241.0,51606.0,54900.0,3442.0,52828.0,56200.0,2.3679417122040025,2.3679417122040025,0.0
71,95,6255.0,49472.92307692308,52630.769230769234,3459.5,52607.6875,55965.625,6.336323443437575,6.336323443437597,1.0
72,96,6268.5,57393.71428571428,61057.142857142855,3475.5,61258.625,65168.75,6.7340313523631234,6.7340313523631234,0.0
75,99,3494.0,42120.88888888889,44377.77777777778,587.0,44891.555555555555,47088.88888888889,6.109163745618429,6.577892204448554,1.0
76,100,3503.5,43134.6,45250.0,596.0,44494.0,46622.22222222222,3.032535297728667,3.151530326002794,1.0
77,101,3512.0,46063.142857142855,48735.71428571428,604.0,48648.0,51470.0,5.610435292393379,5.611551844982987,1.0
78,102,3518.0,50292.6,53270.0,610.0,52975.4,56110.0,5.331330955509661,5.334383189574621,1.0
79,104,3532.5,42003.833333333336,44683.333333333336,621.5,42896.333333333336,45633.333333333336,2.1260723610593057,2.1248060692873327,0.0
80,105,3537.0,46342.333333333336,49300.0,626.0,47189.333333333336,50200.0,1.8255578093306246,1.8277025326015828,1.0
81,106,3554.5,43664.5,60662.5,642.0,58036.6,61740.0,1.7762208942921909,32.91483928591876,1.0
82,107,3559.5,64534.0,68650.0,645.5,65472.5,69650.0,1.4566642388929463,1.454272166609849,0.0
83,108,3563.0,70886.2,75410.0,649.0,71261.8,75810.0,0.5304336294920997,0.5298633584534196,0.0
85,111,3573.0,71881.33333333333,76466.66666666667,659.0,71880.0,76466.66666666667,0.0,-0.0018549090167074844,0.0
86,115,3586.0,48661.0,51766.666666666664,687.0,50886.666666666664,54133.333333333336,4.571796522858995,4.573820239342941,1.0
87,116,3590.0,58045.0,61750.0,691.0,60123.6,63960.0,3.5789473684210593,3.581014729950893,1.0
89,119,3600.5,35438.0,75250.0,702.5,71487.5,76050.0,1.0631229235880335,101.72554884587166,1.0
93,125,3606.0,50636.0,53866.666666666664,712.0,52516.0,55866.666666666664,3.712871287128716,3.712773520815227,0.0
94,126,3612.0,55586.22222222222,59133.333333333336,718.0,58218.22222222222,61933.333333333336,4.735062006764368,4.734986287569254,0.0
95,127,3617.5,73086.0,77750.0,723.5,73461.5,78150.0,0.5144694533762095,0.5137782885915154,0.0
98,130,3623.0,54113.666666666664,57566.666666666664,729.0,56713.333333333336,60333.333333333336,4.806022003474242,4.804085228007726,0.0
99,131,3626.0,56495.0,60100.0,732.0,59282.666666666664,63066.666666666664,4.936217415418742,4.934359972858959,0.0
102,134,3632.5,25333.5,51850.0,738.5,49397.5,52550.0,1.3500482160077043,94.98884875757396,1.0
103,135,3634.0,68151.0,72500.0,740.0,68808.0,73200.0,0.9655172413793212,0.9640357441563552,0.0
104,136,3635.0,0.0,59500.0,741.0,56588.0,60200.0,1.17647058823529,inf,1.0
108,140,3653.0,43589.444444444445,46333.333333333336,757.5,39977.5,42450.0,-8.381294964028784,-8.286282356839703,1.0
110,142,3679.5,61985.0,66112.5,789.0,69609.44444444444,74311.11111111111,12.400999978992044,12.300466958852052,0.0
115,148,3712.0,49623.0,52820.0,823.5,51022.5,54325.0,2.849299507762204,2.8202647965661187,0.0
116,149,3716.0,58376.666666666664,62233.333333333336,827.0,58718.333333333336,62600.0,0.5891805034815123,0.5852795066522143,0.0
117,150,3720.0,70138.0,74880.0,831.0,70455.0,75220.0,0.45405982905983855,0.45196612392710556,0.0
120,153,3729.5,53230.0,56700.0,839.5,53322.5,56800.0,0.17636684303350414,0.17377418748825146,0.0
129,165,3892.0,41498.514285714286,43828.57142857143,1038.5,45545.13157894737,48094.73684210526,9.733754202978107,9.751234141474097,1.0
130,166,3928.5,42179.31578947369,44857.89473684211,1076.5,42179.31578947369,44857.89473684211,0.0,0.0,0.0
131,167,3966.0,43739.91891891892,46564.86486486487,1114.0,43739.91891891892,46564.86486486487,0.0,0.0,0.0
135,171,4059.5,42436.9,43991.5,1206.0,46804.27272727273,48605.454545454544,10.48828647682971,10.29145090068484,0.0
137,173,4073.5,48664.25,50332.083333333336,1219.0,55471.53846153846,56801.53846153846,12.853541319480044,13.988273653736494,1.0
138,174,4084.0,44148.555555555555,45630.555555555555,1230.5,51841.8,52982.0,16.110793206306685,17.425812345691448,1.0
139,175,4095.5,44379.28571428572,45757.5,1243.0,48515.066666666666,49906.0,9.066273288531935,9.319169711308884,1.0
141,177,4117.5,39036.181818181816,40265.0,1266.5,40722.545454545456,42157.72727272727,4.70067620198007,4.320001490458747,0.0
147,184,4177.5,61401.318181818184,64019.09090909091,1325.0,65404.69565217391,68131.73913043478,6.42409656704428,6.5200187697944,1.0
148,185,4196.0,44700.13333333333,46515.333333333336,1346.0,46640.89473684211,48544.21052631579,4.361738479746724,4.341735155544901,0.0
149,186,4225.5,43673.454545454544,46504.77272727273,1377.5,46745.681818181816,49774.431818181816,7.030803289984888,7.034541473081224,1.0
150,188,4265.5,46278.63888888889,48730.27777777778,1420.5,50985.94117647059,53669.26470588235,10.135355580420825,10.171652409405407,1.0
151,189,4312.0,48120.40350877193,50670.78947368421,1464.0,52517.056603773584,55281.1320754717,9.098620032715022,9.136775202228264,1.0
152,190,4348.0,63381.066666666666,66802.66666666667,1497.0,66993.0,70518.84615384616,5.562920872189969,5.69875756798035,1.0
154,193,4367.0,50798.57142857143,50798.57142857143,1518.0,51662.142857142855,51662.142857142855,1.6999915633173046,1.6999915633173046,0.0
156,195,4383.0,67429.0,70300.0,1534.0,73747.0,76820.0,9.274537695590324,9.369855700069696,1.0
157,196,4402.5,39979.5,42081.18421052631,1553.5,44220.84210526316,46548.28947368421,10.615445708014292,10.608792269195867,0.0
158,199,4450.5,41174.90625,43341.71875,1601.5,45687.34375,48091.71875,10.959417708832774,10.95919313720357,0.0
159,200,4478.5,44444.041666666664,46782.916666666664,1629.5,49241.75,51833.333333333336,10.795429243224476,10.794941579158056,0.0
160,201,4497.5,51558.75,54975.0,1649.0,51066.666666666664,54450.0,-0.9549795361528002,-0.9544128461868029,1.0
161,202,4501.5,71840.0,76075.0,1652.5,73728.0,78075.0,2.628984554715741,2.628062360801775,0.0
165,207,4553.0,43284.62962962963,45800.0,1709.0,49335.645161290326,52180.645161290326,13.931539653472335,13.979594104043326,1.0
166,209,4582.5,44702.625,47625.0,1767.5,45183.25,48137.5,1.0761154855642996,1.0751605750221493,0.0
167,210,4618.0,45497.846153846156,48448.717948717946,1803.0,45964.61538461538,48946.153846153844,1.026726647261178,1.0259150052749577,0.0
169,212,4648.0,58017.0,61328.57142857143,1832.0,58665.57142857143,62014.28571428572,1.1180992313067906,1.1178989409508011,0.0
170,213,4655.0,60571.0,64028.57142857143,1839.0,61219.857142857145,64714.28571428572,1.0709504685408433,1.0712339945801563,1.0
178,221,4728.5,37589.78571428572,41130.0,1902.0,40944.92307692308,44286.92307692308,7.675475509173535,8.92566238110335,1.0
179,222,4737.5,37484.75,40575.0,1910.5,39020.0,42225.0,4.066543438077641,4.095665570665408,1.0
184,228,4773.0,40386.0,41663.333333333336,1948.5,37057.0,38250.0,-8.192655412433004,-8.24295547962165,0.0
185,229,4775.5,59551.0,60660.0,1950.5,60042.0,61160.0,0.824266402901408,0.8245033668620172,1.0
192,239,4840.5,0.0,51083.333333333336,2020.5,0.0,51083.333333333336,0.0,,
193,240,4848.5,0.0,46835.0,2028.0,0.0,47288.88888888889,0.96912328149652,,
194,242,4856.5,0.0,75850.0,2046.5,0.0,78650.0,3.6914963744232088,,
197,245,4913.5,39527.083333333336,40974.166666666664,2090.5,42964.7,44364.5,8.274319184852242,8.696863964581226,1.0
198,246,4930.0,46363.52380952381,48097.380952380954,2101.5,48988.0,50574.583333333336,5.1503893390888456,5.660648662639134,1.0
199,248,4946.0,47100.454545454544,48576.818181818184,2118.0,50585.181818181816,52241.818181818184,7.544751050351373,7.398500303992428,0.0
202,254,4992.0,52405.666666666664,54616.666666666664,2174.0,56368.333333333336,57720.0,5.6820262435154145,7.561523244941704,1.0
205,258,5018.5,40823.0,41870.0,2206.0,40212.333333333336,41243.333333333336,-1.4966961229201492,-1.4958887555218014,1.0
214,268,5143.0,42489.72727272727,45448.181818181816,2337.5,43151.083333333336,46065.833333333336,1.3590235966368658,1.5565081328035912,1.0
215,269,5149.5,54172.0,58882.5,2344.5,56010.0,60880.0,3.3923491699571207,3.392896699401904,1.0
216,270,5152.5,39061.5,42000.0,2349.0,47662.42857142857,50707.142857142855,20.731292517006807,22.01894082774234,1.0
220,274,5170.0,39618.77777777778,42293.333333333336,2373.0,42806.666666666664,45693.333333333336,8.039092055485497,8.046408969932873,1.0
221,275,5179.5,50143.1,53917.5,2385.5,50972.3,54811.5,1.6580887466963512,1.6536672044608514,0.0
222,276,5192.0,47628.73333333333,50846.666666666664,2398.0,48328.6,51593.333333333336,1.4684672872689264,1.4694211197442408,1.0
224,278,5215.0,40425.4,42620.0,2421.0,40292.4,42478.0,-0.3331769122477679,-0.3290010735824467,1.0
225,279,5220.0,48405.2,50837.0,2426.0,49423.6,52179.0,2.6398095875051597,2.1039061918967317,0.0
233,289,5315.0,37994.11111111111,40162.77777777778,2495.5,39684.166666666664,41950.0,4.449946744498079,4.448203961432617,0.0
241,300,5354.0,0.0,62086.666666666664,2521.5,0.0,42710.0,-31.20906260066574,,
242,301,5363.5,0.0,45225.0,2528.5,0.0,45550.0,0.7186290768380399,,
243,302,5367.0,0.0,74883.33333333333,2531.0,0.0,72950.0,-2.5817939016247404,,
244,303,5375.0,0.0,74796.15384615384,2537.0,0.0,69472.72727272728,-7.11724640865381,,
245,305,5385.5,0.0,44127.5,2553.5,0.0,44425.0,0.674182765848963,,
246,306,5389.0,0.0,42533.333333333336,2557.0,0.0,43050.0,1.2147335423197347,,
247,307,5392.5,0.0,55550.0,2561.0,0.0,29920.0,-46.13861386138613,,
248,308,5396.5,0.0,69487.5,2565.0,0.0,39666.666666666664,-42.91539245667686,,
249,309,5401.5,0.0,73283.33333333333,2569.5,0.0,75108.33333333333,2.4903343188537708,,
256,317,5452.0,0.0,51070.23809523809,2617.5,0.0,53633.54838709677,5.019186100285067,,
262,324,5542.5,0.0,57350.0,2732.5,0.0,58482.5,1.9747166521359993,,
265,327,5571.0,0.0,40553.333333333336,2758.0,0.0,41330.0,1.9151734341607662,,
270,333,5620.5,0.0,47299.28571428572,2798.0,0.0,47090.90909090909,-0.4405491969484254,,
271,334,5630.0,0.0,54340.0,2805.5,0.0,54087.5,-0.4646669120353386,,
274,337,5647.0,69786.0,77540.0,2822.5,79935.0,88816.66666666667,14.543031553606745,14.543031553606745,0.0
278,341,5678.5,60525.0,67250.0,2868.0,60060.0,66733.33333333333,-0.7682775712515522,-0.7682775712515522,0.0
281,344,5728.0,42434.21621621621,45483.78378378379,2922.5,43731.10526315789,46875.92105263158,3.060733195517762,3.0562342434548695,0.0
282,345,5764.5,45720.416666666664,48866.805555555555,2959.5,54102.666666666664,57702.63888888889,18.081462933541005,18.333713056712455,1.0
283,346,5800.0,47206.171428571426,50310.57142857143,2995.0,55627.54285714286,59233.71428571428,17.736119077501456,17.839556087097574,1.0
292,356,5916.5,0.0,49240.0,3117.0,0.0,55990.0,13.708367181153536,,
295,359,5926.0,0.0,53656.666666666664,3123.5,0.0,67990.0,26.713052121513336,,
296,360,5934.5,39792.642857142855,43254.28571428572,3131.0,39973.153846153844,43533.846153846156,0.6463184744444961,0.4536290531368614,0.0
297,361,5945.0,36309.857142857145,40344.28571428572,3139.0,37042.666666666664,41158.333333333336,2.0177519681786604,2.0182109803581927,1.0
298,362,5950.0,36030.333333333336,40033.333333333336,3142.0,36961.0,41066.666666666664,2.581182348043276,2.5830087611364405,1.0
303,368,5990.5,46243.0,50816.25,3188.5,48628.0,53437.5,5.158290901040519,5.157537357005393,0.0
304,369,5998.5,38154.25,41790.0,3200.5,38948.583333333336,42660.0,2.081837760229721,2.081900006770776,1.0
305,370,6008.5,40798.0,44500.0,3211.5,41634.5,45412.0,2.049438202247189,2.0503456051767177,1.0
306,371,6015.5,55440.5,57750.0,3217.5,55440.5,57750.0,0.0,0.0,0.0
312,377,6049.0,54621.63636363636,60023.63636363636,3253.0,54726.90909090909,60139.09090909091,0.19234846878504186,0.19273081928905533,1.0
313,378,6060.0,39588.72727272727,42953.63636363636,3264.5,40494.333333333336,43942.916666666664,2.3031351633544306,2.287535172240651,0.0
315,380,6108.5,39801.25,43028.25,3324.5,49170.119047619046,53156.54761904762,23.538716120334,23.53913268457408,1.0
317,382,6123.5,40513.0,42245.0,3350.0,43426.333333333336,45283.333333333336,7.192172643705375,7.191107381169837,0.0
318,383,6142.0,39896.42424242424,41601.969696969696,3357.0,40837.454545454544,42583.181818181816,2.3585713089050886,2.3586833178639965,1.0
319,384,6167.5,38727.166666666664,40382.77777777778,3369.0,40637.46153846154,42375.0,4.933346173423758,4.932699797630979,0.0
321,387,6187.0,42304.8,44067.0,3385.5,43507.5,45320.0,2.8433975537250022,2.842939808248701,0.0
326,394,6248.0,50751.0,53990.0,3449.5,56725.0,56725.0,5.0657529172069005,11.771196626667457,1.0
